"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.05.2023","84,96","84,66","86,90","84,30","12,00K","0,54%"
"04.05.2023","84,50","85,29","85,71","83,25","17,53K","-0,76%"
"03.05.2023","85,15","89,00","89,35","84,00","24,91K","-3,81%"
"02.05.2023","88,52","85,66","90,82","85,42","21,01K","3,37%"
"01.05.2023","85,63","87,39","88,36","85,50","4,52K","-2,30%"
"28.04.2023","87,65","86,49","88,11","86,13","11,92K","1,12%"
"27.04.2023","86,68","85,94","87,90","85,40","18,54K","0,51%"
"26.04.2023","86,24","86,90","87,00","85,16","19,49K","-0,66%"
"25.04.2023","86,81","88,58","88,91","86,53","20,94K","-1,98%"
"24.04.2023","88,56","90,11","90,11","87,59","17,79K","-1,45%"
"21.04.2023","89,86","91,95","92,41","89,25","16,35K","-2,05%"
"20.04.2023","91,74","94,45","94,66","91,18","18,42K","-2,81%"
"19.04.2023","94,39","95,30","96,47","94,18","12,80K","-0,80%"
"18.04.2023","95,15","92,98","95,60","92,33","14,37K","2,41%"
"17.04.2023","92,91","94,14","94,75","92,16","11,40K","-1,28%"
"14.04.2023","94,11","94,39","94,99","93,16","11,55K","-0,30%"
"13.04.2023","94,39","96,15","96,50","93,10","14,93K","-1,95%"
"12.04.2023","96,27","97,53","98,21","95,09","16,89K","-1,23%"
"11.04.2023","97,47","96,75","98,43","96,72","12,46K","0,74%"
"06.04.2023","96,75","97,00","97,90","96,00","","-0,27%"
"05.04.2023","97,01","94,97","98,00","94,78","17,83K","2,14%"
